pbs.norovirus.ir,tsb.norovirus.ir,fbs.norovirus.ir,astm.norovirus.ir
0.000333493,0.000200223,1.66E-05,0.002447003
0.000662091,7.23E-05,0.000479121,0.000126791
2.22E-05,3.64E-05,0.000115966,0.000669912
0.000569318,0.000686742,2.02E-05,0.004870995
3.84E-05,0.000199224,0.000204522,0.000331515
0.000176698,0.000239988,0.000566396,0.00019163
0.000436628,3.51E-07,7.53E-06,0.001959161
0.001293461,0.003681806,0.000648128,0.00048735
0.000519067,0.000572421,0.000207858,0.001506286
0.000134918,0.000306372,0.000497492,0.000477246
0.000623352,0.001041493,0.003839199,0.000770815
0.000696027,0.000337475,0.000349737,0.000167528
0.000335815,0.000597888,0.001097563,0.000248514
0.001790946,0.003915356,0.000791282,0.000802026
0.00041932,0.002793302,0.000173417,0.004738451
0.000570991,6.17E-05,4.10E-05,0.000660367
4.70E-05,0.000714338,1.57E-05,0.000877905
6.85E-05,0.001770594,0.002410619,0.005605118
1.96E-05,8.07E-05,0.000364275,0.001345325
0.001093324,0.001536367,0.000140345,0.000443503
0.000355071,0.000690829,0.001284111,0.000423471
0.000278718,5.55E-05,0.000265641,0.00580894
7.26E-05,7.01E-05,0.000378023,0.000146844
5.96E-05,0.000259552,0.000475465,0.001050738
4.17E-05,0.000221097,0.000187521,0.000817171
0.000362495,0.000268429,0.001137434,0.005294466
2.12E-05,0.000128369,0.001283797,5.75E-05
5.17E-06,0.002731341,0.000472326,0.000769817
9.01E-05,6.33E-06,0.000389884,0.000199376
0.000686994,0.000217884,0.001419601,0.000766445
0.000936585,0.000723521,0.000815225,0.001068968
0.001468861,0.000259354,0.00028939,0.001555307
0.000147542,0.000531532,0.002865519,0.00091909
0.000407875,0.000574431,0.000784182,0.000554366
9.16E-05,0.000345634,3.75E-05,0.000270653
0.000927104,0.000359058,0.000224177,0.005493235
0.000104699,0.000511861,0.000713947,0.000271548
0.00302219,0.000327666,9.53E-05,0.000228641
0.004204522,2.44E-05,1.42E-05,0.000505128
0.000124769,4.73E-05,0.000149917,0.000570051
8.81E-05,0.000286896,0.000429273,0.000155379
9.18E-05,8.20E-05,0.004991182,0.001247643
0.000891493,0.000477975,0.000340025,0.000450788
0.000680611,2.10E-05,0.001139148,0.000140699
4.59E-06,0.000548842,0.000123734,0.000556127
0.000275651,5.85E-05,0.000145984,8.58E-06
0.000256251,0.000291445,1.24E-05,0.005833036
0.00133195,0.000155294,0.000196174,0.000505957
0.000107025,0.0019657,0.000248277,0.000328246
0.00186976,0.001557559,0.0005023,0.002761051
0.001116089,0.00020174,0.000998232,0.001796776
0.000354065,0.001167253,0.00065035,0.000382618
0.000123208,0.000765661,1.61E-05,0.00121643
5.53E-05,0.000314323,0.000230659,0.005103406
0.00208918,0.000793765,5.99E-05,0.001207496
0.000174308,3.36E-05,0.000311965,0.000192097
0.000391746,0.000213959,0.000182105,0.002621066
0.000522454,0.000245843,5.37E-05,0.000430157
0.000302098,2.33E-05,0.000341535,0.001588998
0.000227124,4.66E-05,5.11E-05,0.000213812
0.002056464,0.001350801,0.000345698,0.001443563
0.000329013,4.68E-05,0.000445109,0.000786966
0.000111517,0.000139465,0.00047134,0.000259451
0.00051786,0.000508312,0.000515032,0.002219127
0.000811301,0.002441734,0.000354565,0.000320297
0.000263163,0.005116729,0.000313219,0.00688458
0.001975321,4.14E-05,0.000706345,0.000446783
6.56E-05,6.01E-05,0.00017066,0.00057546
4.26E-05,2.48E-05,0.000450801,0.003191215
0.000679411,0.000997409,0.000369428,0.001645112
0.001190718,0.001272103,0.000165261,0.000829166
0.000240414,0.000310247,0.000115337,0.000556668
0.000303933,0.000469654,0.000225113,0.000313494
0.000276129,0.000475838,0.000921257,0.000170467
0.00085895,4.50E-05,0.000429373,0.009113517
0.000162442,0.00034966,0.000165596,0.002136401
0.000135926,0.000591669,0.000120207,0.001207224
